                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0873,                  4.098,                 1.5423,                0.00117,                      1,                0.03315,                0.02199,                  1.177,                 5.5726,                  1.658,               0.099001,                  1e-06,                  1e-06
                      2,                 1.1421,                 4.3818,                 1.4875,                0.00208,                      1,                0.02772,                0.01238,                0.81973,                 4.7557,                 1.5817,               0.097003,             2.9703e-06,             2.9703e-06
                      3,                 0.7697,                 3.9756,                 1.2326,                  0.002,                      1,                0.01337,                 0.0089,                 1.2826,                 4.6398,                 2.3104,               0.095005,              4.901e-06,              4.901e-06
                      4,                0.75688,                 3.0501,                 1.3377,                0.00186,                      1,                0.25549,                0.12831,                 1.2869,                 4.2931,                 2.5611,               0.093007,             6.7921e-06,             6.7921e-06
                      5,                0.29816,                 10.867,                 0.6178,                0.00185,                      1,                0.06999,                0.03425,                 1.5574,                 4.3192,                 2.9795,               0.091009,             8.6436e-06,             8.6436e-06
                      6,                0.55711,                 3.0912,                 1.1713,                0.00198,                      1,                0.01687,                0.00958,                 1.4626,                 4.3411,                 3.0942,                0.08901,             1.0456e-05,             1.0456e-05
                      7,                0.69692,                 3.0448,                 1.3373,                0.00213,                      1,                0.00924,                0.00495,                 1.2813,                 4.3423,                 3.0517,               0.087012,             1.2228e-05,             1.2228e-05
                      8,                0.71706,                 3.0788,                 1.2422,                0.00168,                   0.75,                0.00628,                0.00421,                 1.4912,                 4.2365,                 3.3947,               0.085014,             1.3961e-05,             1.3961e-05
                      9,                0.69206,                 3.0951,                0.99437,                0.00236,                      1,                0.01028,                0.00532,                 1.4413,                 4.1926,                 3.2644,               0.083016,             1.5654e-05,             1.5654e-05
                     10,                0.54385,                 3.0176,                 1.0376,                0.00231,                      1,                0.01229,                0.00689,                 1.4624,                 4.0812,                   3.17,               0.081017,             1.7307e-05,             1.7307e-05
                     11,                0.34849,                 3.0985,                  1.003,                0.00228,                      1,                0.01565,                0.00827,                 1.3317,                 4.0295,                 3.0692,               0.079019,             1.8921e-05,             1.8921e-05
                     12,                0.46459,                 2.9497,                 1.1333,                0.00228,                      1,                0.01565,                0.00827,                 1.3317,                 4.0295,                 3.0692,                0.07702,             2.0495e-05,             2.0495e-05
                     13,                0.71004,                 2.9225,                 1.2477,                0.00223,                      1,                 0.0286,                0.01516,                 1.2212,                 3.9331,                 2.9068,               0.075022,              2.203e-05,              2.203e-05
                     14,                 0.5372,                 2.9978,                 1.0955,                0.00223,                      1,                 0.0892,                0.03505,                 1.1159,                 3.8616,                 2.6197,               0.073024,             2.3525e-05,             2.3525e-05
                     15,                 0.4644,                 3.0903,                 1.0541,                0.00223,                      1,                 0.0892,                0.03505,                 1.1159,                 3.8616,                 2.6197,               0.071025,             2.4981e-05,             2.4981e-05
